begin at: Thu May 17 09:09:42 2018
1526537382.807719230652,1526537382.857156515121,0.049437284470
2018-05-23 20:45:47.501851,2018-05-23 20:45:47.503307,0:00:00.001456
2018-05-23 20:45:52.872576,2018-05-23 20:45:52.880937,0:00:00.008361
2018-05-23 20:45:58.246810,2018-05-23 20:45:58.247676,0:00:00.000866
2018-05-23 20:46:03.618569,2018-05-23 20:46:03.620102,0:00:00.001533
2018-05-23 20:46:08.975883,2018-05-23 20:46:08.978073,0:00:00.002190
2018-05-23 20:46:14.333136,2018-05-23 20:46:14.336241,0:00:00.003105
2018-05-23 20:46:19.682883,2018-05-23 20:46:19.681833,-1 day, 23:59:59.998950
2018-05-23 20:46:25.044262,2018-05-23 20:46:25.049148,0:00:00.004886
2018-05-23 20:46:30.393066,2018-05-23 20:46:30.397264,0:00:00.004198
2018-05-23 20:46:35.752653,2018-05-23 20:46:35.756375,0:00:00.003722
2018-05-23 20:46:41.120490,2018-05-23 20:46:41.128888,0:00:00.008398
2018-05-23 20:46:46.504650,2018-05-23 20:46:46.505824,0:00:00.001174
2018-05-23 20:46:51.903409,2018-05-23 20:46:51.905649,0:00:00.002240
2018-05-23 20:46:57.255901,2018-05-23 20:46:57.260503,0:00:00.004602
2018-05-23 20:47:02.618813,2018-05-23 20:47:02.620866,0:00:00.002053
2018-05-23 20:47:07.981281,2018-05-23 20:47:07.989422,0:00:00.008141
2018-05-23 20:47:13.342230,2018-05-23 20:47:13.346083,0:00:00.003853
2018-05-23 20:47:18.694193,2018-05-23 20:47:18.692090,-1 day, 23:59:59.997897
2018-05-23 20:47:24.052876,2018-05-23 20:47:24.059216,0:00:00.006340
2018-05-23 20:47:29.405662,2018-05-23 20:47:29.411200,0:00:00.005538
2018-05-23 20:47:34.762281,2018-05-23 20:47:34.766537,0:00:00.004256
2018-05-23 20:47:40.121236,2018-05-23 20:47:40.122284,0:00:00.001048
2018-05-23 20:47:45.225321,2018-05-23 20:47:45.228276,0:00:00.002955
2018-05-23 20:47:50.303599,2018-05-23 20:47:50.304103,0:00:00.000504
2018-05-23 20:47:55.403963,2018-05-23 20:47:55.408538,0:00:00.004575
2018-05-23 20:48:00.517329,2018-05-23 20:48:00.522190,0:00:00.004861
2018-05-23 20:48:05.636264,2018-05-23 20:48:05.641253,0:00:00.004989
2018-05-23 20:48:10.748492,2018-05-23 20:48:10.751457,0:00:00.002965
2018-05-23 20:48:15.837992,2018-05-23 20:48:15.840372,0:00:00.002380
2018-05-23 20:48:20.953305,2018-05-23 20:48:20.953764,0:00:00.000459
2018-05-23 20:48:26.077771,2018-05-23 20:48:26.080816,0:00:00.003045
2018-05-23 20:48:31.214557,2018-05-23 20:48:31.217412,0:00:00.002855
2018-05-23 20:48:36.273481,2018-05-23 20:48:36.277908,0:00:00.004427
2018-05-23 20:48:41.331765,2018-05-23 20:48:41.333395,0:00:00.001630
2018-05-23 20:48:46.461824,2018-05-23 20:48:46.464153,0:00:00.002329
